percent_spent,function,sgx,percent_train
0.328,memset,1,10
0.1474,tokenize_bytes,1,10
0.0904,precise_xstrtod,1,10
0.0854,memcpy,1,10
0.0613,sgx_copy_to_enclave_verified,1,10
0.0422,splitter_introsort,1,10
0.0264,kernel_func,1,10
0.0245,management8internal11splitColumnIdiLNS,1,10
0.0238,ClassificationCriterion_update,1,10
0.015,mbedtls_internal_sha256_process,1,10
0.0139,__memmove_evex_unaligned_erms,1,10
0.0138,Z11aquicksort,1,10
0.0078,kernel_func,1,10
0.0055,get_trusted_or_allowed_file,1,10
0.0047,kernel_func,1,10
0.3252,tokenize_bytes,0,10
0.215,precise_xstrtod,0,10
0.1008,splitter_introsort,0,10
0.0354,__memmove_evex_unaligned_erms,0,10
0.0336,kernel_func,0,10
0.0285,management8internal11splitColumnIdiLNS,0,10
0.0235,Z11aquicksort,0,10
0.014,kernel_func,0,10
0.012,ClassificationCriterion_update,0,10
0.0097,kernel_func,0,10
0.0096,kernel_func,0,10
0.0092,management8internal20computeSumAVX512ImplIdEET,0,10
0.0088,kernel_func,0,10
0.0072,AVX512_SKX_isnan_DOUBLE,0,10
0.0058,PyArray_Nonzero,0,10
0.2994,memset,1,20
0.1387,tokenize_bytes,1,20
0.0892,precise_xstrtod,1,20
0.0825,splitter_introsort,1,20
0.078,memcpy,1,20
0.0538,sgx_copy_to_enclave_verified,1,20
0.0487,ClassificationCriterion_update,1,20
0.0232,kernel_func,1,20
0.022,management8internal11splitColumnIdiLNS,1,20
0.0154,mbedtls_internal_sha256_process,1,20
0.0129,Z11aquicksort,1,20
0.0117,__memmove_evex_unaligned_erms,1,20
0.0055,kernel_func,1,20
0.0049,get_trusted_or_allowed_file,1,20
0.0048,kernel_func,1,20
0.2852,tokenize_bytes,0,20
0.1886,precise_xstrtod,0,20
0.1777,splitter_introsort,0,20
0.0313,__memmove_evex_unaligned_erms,0,20
0.0294,kernel_func,0,20
0.0275,ClassificationCriterion_update,0,20
0.0251,management8internal11splitColumnIdiLNS,0,20
0.0206,Z11aquicksort,0,20
0.0121,kernel_func,0,20
0.0091,DensePartitioner_sort_samples_and_feature_values,0,20
0.0089,kernel_func,0,20
0.0086,kernel_func,0,20
0.0083,management8internal20computeSumAVX512ImplIdEET,0,20
0.0077,kernel_func,0,20
0.0067,AVX512_SKX_isnan_DOUBLE,0,20
0.2667,memset,1,30
0.1275,tokenize_bytes,1,30
0.1092,splitter_introsort,1,30
0.0946,ClassificationCriterion_update,1,30
0.0792,precise_xstrtod,1,30
0.0743,memcpy,1,30
0.0496,sgx_copy_to_enclave_verified,1,30
0.021,kernel_func,1,30
0.0203,management8internal11splitColumnIdiLNS,1,30
0.0155,mbedtls_internal_sha256_process,1,30
0.0115,Z11aquicksort,1,30
0.0101,__memmove_evex_unaligned_erms,1,30
0.0094,DensePartitioner_sort_samples_and_feature_values,1,30
0.0052,node_split_best,1,30
0.0052,kernel_func,1,30
0.2546,tokenize_bytes,0,30
0.2367,splitter_introsort,0,30
0.1686,precise_xstrtod,0,30
0.0431,ClassificationCriterion_update,0,30
0.0275,__memmove_evex_unaligned_erms,0,30
0.0262,kernel_func,0,30
0.0223,management8internal11splitColumnIdiLNS,0,30
0.0184,Z11aquicksort,0,30
0.013,DensePartitioner_sort_samples_and_feature_values,0,30
0.0111,kernel_func,0,30
0.0076,management8internal20computeSumAVX512ImplIdEET,0,30
0.0076,node_split_best,0,30
0.0073,kernel_func,0,30
0.0073,kernel_func,0,30
0.007,kernel_func,0,30
0.2395,memset,1,40
0.1357,ClassificationCriterion_update,1,40
0.1345,splitter_introsort,1,40
0.1103,tokenize_bytes,1,40
0.0708,precise_xstrtod,1,40
0.0673,memcpy,1,40
0.0463,sgx_copy_to_enclave_verified,1,40
0.0192,kernel_func,1,40
0.0184,management8internal11splitColumnIdiLNS,1,40
0.0131,DensePartitioner_sort_samples_and_feature_values,1,40
0.0124,mbedtls_internal_sha256_process,1,40
0.0106,Z11aquicksort,1,40
0.0097,__memmove_evex_unaligned_erms,1,40
0.0048,node_split_best,1,40
0.0044,ClassificationCriterion_init,1,40
0.2819,splitter_introsort,0,40
0.2297,tokenize_bytes,0,40
0.1519,precise_xstrtod,0,40
0.0578,ClassificationCriterion_update,0,40
0.0249,__memmove_evex_unaligned_erms,0,40
0.0236,kernel_func,0,40
0.0202,management8internal11splitColumnIdiLNS,0,40
0.0166,Z11aquicksort,0,40
0.016,DensePartitioner_sort_samples_and_feature_values,0,40
0.0101,kernel_func,0,40
0.0082,node_split_best,0,40
0.0071,management8internal20computeSumAVX512ImplIdEET,0,40
0.0065,kernel_func,0,40
0.0065,kernel_func,0,40
0.0063,kernel_func,0,40
0.2133,memset,1,50
0.1755,ClassificationCriterion_update,1,50
0.1538,splitter_introsort,1,50
0.0997,tokenize_bytes,1,50
0.0627,precise_xstrtod,1,50
0.0614,memcpy,1,50
0.0419,sgx_copy_to_enclave_verified,1,50
0.0178,kernel_func,1,50
0.0171,management8internal11splitColumnIdiLNS,1,50
0.016,DensePartitioner_sort_samples_and_feature_values,1,50
0.0114,mbedtls_internal_sha256_process,1,50
0.0103,__memmove_evex_unaligned_erms,1,50
0.0098,Z11aquicksort,1,50
0.006,kernel_func,1,50
0.0053,ClassificationCriterion_init,1,50
0.319,splitter_introsort,0,50
0.2076,tokenize_bytes,0,50
0.138,precise_xstrtod,0,50
0.0737,ClassificationCriterion_update,0,50
0.023,__memmove_evex_unaligned_erms,0,50
0.0214,kernel_func,0,50
0.0184,DensePartitioner_sort_samples_and_feature_values,0,50
0.0181,management8internal11splitColumnIdiLNS,0,50
0.015,Z11aquicksort,0,50
0.0087,kernel_func,0,50
0.0085,node_split_best,0,50
0.0066,management8internal20computeSumAVX512ImplIdEET,0,50
0.006,kernel_func,0,50
0.006,kernel_func,0,50
0.0057,kernel_func,0,50
0.212,ClassificationCriterion_update,1,60
0.1978,memset,1,60
0.1672,splitter_introsort,1,60
0.0889,tokenize_bytes,1,60
0.0606,precise_xstrtod,1,60
0.0589,memcpy,1,60
0.0356,sgx_copy_to_enclave_verified,1,60
0.0188,DensePartitioner_sort_samples_and_feature_values,1,60
0.0159,kernel_func,1,60
0.0152,management8internal11splitColumnIdiLNS,1,60
0.0112,mbedtls_internal_sha256_process,1,60
0.0089,Z11aquicksort,1,60
0.0085,__memmove_evex_unaligned_erms,1,60
0.0067,ClassificationCriterion_init,1,60
0.0051,kernel_func,1,60
0.3519,splitter_introsort,0,60
0.1915,tokenize_bytes,0,60
0.1267,precise_xstrtod,0,60
