percent_spent,function,sgx,max_depth
0.3229,splitter_introsort,1,None
0.2744,ClassificationCriterion_update,1,None
0.0808,DensePartitioner_sort_samples_and_feature_values,1,None
0.049,memset,1,None
0.0441,Entropy_children_impurity,1,None
0.0428,splitter_node_split_best,1,None
0.037,__ieee754_log_fma,1,None
0.0253,__pyx_f_7sklearn_4tree_6_utils_log,1,None
0.0224,tokenize_bytes,1,None
0.0145,precise_xstrtod,1,None
0.0129,memcpy,1,None
0.0121,ClassificationCriterion_init,1,None
0.0094,Criterion_proxy_impurity_improvement,1,None
0.0092,sgx_copy_to_enclave_verified,1,None
0.004,kernel_func,None
0.5031,splitter_introsort,0,None
0.1406,ClassificationCriterion_update,0,None
0.0736,Entropy_children_impurity,0,None
0.0652,splitter_node_split_best,0,None
0.0347,__pyx_f_7sklearn_4tree_6_utils_log,0,None
0.0344,tokenize_bytes,0,None
0.0343,DensePartitioner_sort_samples_and_feature_values,0,None
0.0264,__ieee754_log_fma,0,None
0.0227,precise_xstrtod,0,None
0.0146,Criterion_proxy_impurity_improvement,0,None
0.0041,kernel_func,None
0.0041,log@plt,0,None
0.0038,__memmove_evex_unaligned_erms,0,None
0.0035,kernel_func,None
0.003,_ZN4daal15data_management8internal11splitColumnId,0,None
0.2472,ClassificationCriterion_update,1,3
0.1806,splitter_introsort,1,3
0.1806,memset,1,3
0.0801,tokenize_bytes,1,3
0.0531,precise_xstrtod,1,3
0.0513,memcpy,1,3
0.0332,sgx_copy_to_enclave_verified,1,3
0.021,DensePartitioner_sort_samples_and_feature_values,1,3
0.0141,_ZN4daal15data_management8internal11splitColumnId,1,3
0.0139,kernel_func,3
0.0108,mbedtls_internal_sha256_process,1,3
0.0086,__memmove_evex_unaligned_erms,1,3
0.0082,_Z11aquicksort_IN3npy10double_tagEdEiPT0_Pll,1,3
0.008,ClassificationCriterion_init,1,3
0.0054,splitter_node_split_best,1,3
0.3771,splitter_introsort,0,3
0.176,tokenize_bytes,0,3
0.1167,precise_xstrtod,0,3
0.0905,ClassificationCriterion_update,0,3
0.0224,DensePartitioner_sort_samples_and_feature_values,0,3
0.0196,__memmove_evex_unaligned_erms,0,3
0.0182,kernel_func,3
0.0154,_ZN4daal15data_management8internal11splitColumnId,0,3
0.0128,_Z11aquicksort_IN3npy10double_tagEdEiPT0_Pll,0,3
0.0089,splitter_node_split_best,0,3
0.008,kernel_func,3
0.0062,_ZN4daal15data_management8internal13computeSumSOAILNS_7CpuTypeE6EEEdRNS0_10interface112NumericTableERbRNS_8services10interface16StatusE,0,3
0.0052,Entropy_children_impurity,0,3
0.0051,kernel_func,3
0.005,AVX512_SKX_isnan_DOUBLE,0,3
0.308,ClassificationCriterion_update,1,5
0.2265,splitter_introsort,1,5
0.1367,memset,1,5
0.0615,tokenize_bytes,1,5
0.0429,precise_xstrtod,1,5
0.0388,memcpy,1,5
0.0286,DensePartitioner_sort_samples_and_feature_values,1,5
0.0258,sgx_copy_to_enclave_verified,1,5
0.0112,kernel_func,5
0.011,_ZN4daal15data_management8internal11splitColumnId,1,5
0.0105,ClassificationCriterion_init,1,5
0.0077,mbedtls_internal_sha256_process,1,5
0.0068,splitter_node_split_best,1,5
0.0061,_Z11aquicksort_IN3npy10double_tagEdEiPT0_Pll,1,5
0.0061,__memmove_evex_unaligned_erms,1,5
0.4592,splitter_introsort,0,5
0.1293,tokenize_bytes,0,5
0.1136,ClassificationCriterion_update,0,5
0.0857,precise_xstrtod,0,5
0.0309,DensePartitioner_sort_samples_and_feature_values,0,5
0.0141,__memmove_evex_unaligned_erms,0,5
0.0134,kernel_func,5
0.0133,splitter_node_split_best,0,5
0.0113,_ZN4daal15data_management8internal11splitColumnId,0,5
0.0094,_Z11aquicksort_IN3npy10double_tagEdEiPT0_Pll,0,5
0.0085,Entropy_children_impurity,0,5
0.0061,__ieee754_log_fma,0,5
0.0059,kernel_func,5
0.0056,__pyx_f_7sklearn_4tree_6_utils_log,0,5
0.0045,_ZN4daal15data_management8internal13computeSumSOAILNS_7CpuTypeE6EEEdRNS0_10interface112NumericTableERbRNS_8services10interface16StatusE,0,5
0.3277,ClassificationCriterion_update,1,7
0.2593,splitter_introsort,1,7
0.1119,memset,1,7
0.0518,tokenize_bytes,1,7
0.0355,precise_xstrtod,1,7
0.0337,DensePartitioner_sort_samples_and_feature_values,1,7
0.0321,memcpy,1,7
0.0204,sgx_copy_to_enclave_verified,1,7
0.0119,ClassificationCriterion_init,1,7
0.0097,splitter_node_split_best,1,7
0.0093,kernel_func,7
0.0093,_ZN4daal15data_management8internal11splitColumnId,1,7
0.0086,__ieee754_log_fma,1,7
0.0069,Entropy_children_impurity,1,7
0.0067,mbedtls_internal_sha256_process,1,7
0.5063,splitter_introsort,0,7
0.1182,ClassificationCriterion_update,0,7
0.1023,tokenize_bytes,0,7
0.068,precise_xstrtod,0,7
0.0374,DensePartitioner_sort_samples_and_feature_values,0,7
0.0172,splitter_node_split_best,0,7
0.0131,Entropy_children_impurity,0,7
0.0112,__memmove_evex_unaligned_erms,0,7
0.0105,kernel_func,7
0.0089,_ZN4daal15data_management8internal11splitColumnId,0,7
0.0087,__ieee754_log_fma,0,7
0.0085,__pyx_f_7sklearn_4tree_6_utils_log,0,7
0.0074,_Z11aquicksort_IN3npy10double_tagEdEiPT0_Pll,0,7
0.0047,kernel_func,7
0.0036,_ZN4daal15data_management8internal13computeSumSOAILNS_7CpuTypeE6EEEdRNS0_10interface112NumericTableERbRNS_8services10interface16StatusE,0,7
0.3324,ClassificationCriterion_update,1,9
0.2795,splitter_introsort,1,9
0.0959,memset,1,9
0.0434,DensePartitioner_sort_samples_and_feature_values,1,9
0.0434,tokenize_bytes,1,9
0.0296,precise_xstrtod,1,9
0.0285,memcpy,1,9
0.0188,sgx_copy_to_enclave_verified,1,9
0.0126,ClassificationCriterion_init,1,9
0.0117,splitter_node_split_best,1,9
0.0112,__ieee754_log_fma,1,9
0.0106,Entropy_children_impurity,1,9
0.0081,kernel_func,9
0.0077,_ZN4daal15data_management8internal11splitColumnId,1,9
0.0061,__pyx_f_7sklearn_4tree_6_utils_log,1,9
0.5332,splitter_introsort,0,9
0.1179,ClassificationCriterion_update,0,9
0.0844,tokenize_bytes,0,9
0.0558,precise_xstrtod,0,9
0.0419,DensePartitioner_sort_samples_and_feature_values,0,9
0.0221,splitter_node_split_best,0,9
0.0179,Entropy_children_impurity,0,9
0.012,__ieee754_log_fma,0,9
0.0115,__pyx_f_7sklearn_4tree_6_utils_log,0,9
0.0092,__memmove_evex_unaligned_erms,0,9
0.0087,kernel_func,9
0.0074,_ZN4daal15data_management8internal11splitColumnId,0,9
0.0061,_Z11aquicksort_IN3npy10double_tagEdEiPT0_Pll,0,9
0.0044,Criterion_proxy_impurity_improvement,0,9
0.0039,kernel_func,9
0.3292,ClassificationCriterion_update,1,11
0.2943,splitter_introsort,1,11
0.0864,memset,1,11
0.0454,DensePartitioner_sort_samples_and_feature_values,1,11
0.0403,tokenize_bytes,1,11
0.0247,precise_xstrtod,1,11
0.0246,memcpy,1,11
0.0172,splitter_node_split_best,1,11
0.0163,sgx_copy_to_enclave_verified,1,11
0.0162,Entropy_children_impurity,1,11
0.0146,__ieee754_log_fma,1,11
0.0126,ClassificationCriterion_init,1,11
0.009,__pyx_f_7sklearn_4tree_6_utils_log,1,11
0.007,kernel_func,11
0.0067,_ZN4daal15data_management8internal11splitColumnId,1,11
0.5458,splitter_introsort,0,11
0.1181,ClassificationCriterion_update,0,11
0.0714,tokenize_bytes,0,11
0.0475,precise_xstrtod,0,11
0.0441,DensePartitioner_sort_samples_and_feature_values,0,11
0.0276,splitter_node_split_best,0,11
0.0238,Entropy_children_impurity,0,11
0.0151,__pyx_f_7sklearn_4tree_6_utils_log,0,11
0.0149,__ieee754_log_fma,0,11
0.0078,__memmove_evex_unaligned_erms,0,11
0.0074,kernel_func,11
0.0062,_ZN4daal15data_management8internal11splitColumnId,0,11
0.0057,Criterion_proxy_impurity_improvement,0,11
0.0052,_Z11aquicksort_IN3npy10double_tagEdEiPT0_Pll,0,11
0.0033,kernel_func,11
0.3266,ClassificationCriterion_update,1,13
0.3026,splitter_introsort,1,13
0.0779,memset,1,13
0.0524,DensePartitioner_sort_samples_and_feature_values,1,13
0.034,tokenize_bytes,1,13
0.0232,precise_xstrtod,1,13
0.0212,memcpy,1,13
0.0208,__ieee754_log_fma,1,13
0.0198,Entropy_children_impurity,1,13
0.0191,splitter_node_split_best,1,13
0.0143,sgx_copy_to_enclave_verified,1,13
0.0135,ClassificationCriterion_init,1,13
0.0106,__pyx_f_7sklearn_4tree_6_utils_log,1,13
0.0063,kernel_func,13
0.006,_ZN4daal15data_management8internal11splitColumnId,1,13
0.547,splitter_introsort,0,13
0.1226,ClassificationCriterion_update,0,13
0.0618,tokenize_bytes,0,13
0.0441,DensePartitioner_sort_samples_and_feature_values,0,13
0.0408,precise_xstrtod,0,13
0.0331,splitter_node_split_best,0,13
0.0295,Entropy_children_impurity,0,13
0.0189,__pyx_f_7sklearn_4tree_6_utils_log,0,13
0.0185,__ieee754_log_fma,0,13
0.0072,Criterion_proxy_impurity_improvement,0,13
0.0067,__memmove_evex_unaligned_erms,0,13
0.0064,kernel_func,13
0.0054,_ZN4daal15data_management8internal11splitColumnId,0,13
0.0045,_Z11aquicksort_IN3npy10double_tagEdEiPT0_Pll,0,13
0.0029,kernel_func,13
0.3126,ClassificationCriterion_update,1,15
0.311,splitter_introsort,1,15
0.0707,memset,1,15
0.0604,DensePartitioner_sort_samples_and_feature_values,1,15
0.0316,tokenize_bytes,1,15
0.0246,splitter_node_split_best,1,15
0.0233,__ieee754_log_fma,1,15
0.0218,Entropy_children_impurity,1,15
0.0212,precise_xstrtod,1,15
0.0207,memcpy,1,15
0.0145,__pyx_f_7sklearn_4tree_6_utils_log,1,15
0.0133,ClassificationCriterion_init,1,15
0.013,sgx_copy_to_enclave_verified,1,15
