percent,function,sgx,num_clients
0.0994,_PyEval_EvalFrameDefault,0,2
0.0261,__memmove_evex_unaligned_erms,0,2
0.0239,_dl_lookup_symbol_x,0,2
0.0235,_PyObject_GenericGetAttrWithDict,0,2
0.0221,kernel_func,0,2
0.0219,kernel_func,0,2
0.0179,kernel_func,0,2
0.0156,PyDict_SetDefault,0,2
0.0148,do_lookup_x,0,2
0.0137,kernel_func,0,2
0.0079,_dl_relocate_object,0,2
0.0076,kernel_func,0,2
0.0071,_PyObject_GetMethod,0,2
0.0066,_int_malloc,0,2
0.0062,kernel_func,0,2
0.422,sgx_copy_to_enclave_verified,1,2
0.1856,memset,1,2
0.1452,mbedtls_internal_sha256_process,1,2
0.0903,memcpy,1,2
0.0498,get_trusted_or_allowed_file,1,2
0.0293,_PalThreadCreate,1,2
0.0052,mbedtls_platform_zeroize,1,2
0.0041,_PyEval_EvalFrameDefault,1,2
0.0018,cleanup_thread,1,2
0.0016,enclave_entry,1,2
0.0013,kernel_func,1,2
0.0011,memcmp,1,2
0.0011,kernel_func,1,2
0.001,mbedtls_sha256_update,1,2
0.001,_PyObject_GenericGetAttrWithDict,1,2
0.1062,_PyEval_EvalFrameDefault,0,32
0.0615,__memmove_evex_unaligned_erms,0,32
0.0187,_PyObject_GenericGetAttrWithDict,0,32
0.0166,_dl_lookup_symbol_x,0,32
0.0162,kernel_func,0,32
0.0161,kernel_func,0,32
0.0129,kernel_func,0,32
0.0115,do_lookup_x,0,32
0.0106,PyDict_SetDefault,0,32
0.0106,kernel_func,0,32
0.0082,_PyObject_GetMethod,0,32
0.0075,_int_malloc,0,32
0.0071,_int_free,0,32
0.0063,malloc,0,32
0.0054,_dl_relocate_object,0,32
0.3864,sgx_copy_to_enclave_verified,1,32
0.1616,memset,1,32
0.1134,_PalThreadCreate,1,32
0.11,mbedtls_internal_sha256_process,1,32
0.0762,memcpy,1,32
0.0462,get_trusted_or_allowed_file,1,32
0.0251,is_in_adjacent_user_vmas,1,32
0.0075,mbedtls_platform_zeroize,1,32
0.0052,_PyEval_EvalFrameDefault,1,32
0.0024,__memmove_evex_unaligned_erms,1,32
0.0016,enclave_entry,1,32
0.0014,kernel_func,1,32
0.0013,_int_malloc,1,32
0.0012,cleanup_thread,1,32
0.0012,PyDict_SetDefault,1,32
0.1033,_PyEval_EvalFrameDefault,0,64
0.0817,__memmove_evex_unaligned_erms,0,64
0.0185,kernel_func,0,64
0.0185,kernel_func,0,64
0.0183,kernel_func,0,64
0.0165,_PyObject_GenericGetAttrWithDict,0,64
0.0123,_dl_lookup_symbol_x,0,64
0.0122,kernel_func,0,64
0.0108,kernel_func,0,64
0.0095,_int_malloc,0,64
0.0089,do_lookup_x,0,64
0.0086,_PyObject_GetMethod,0,64
0.008,PyDict_SetDefault,0,64
0.0074,_int_free,0,64
0.006,malloc,0,64
0.3409,sgx_copy_to_enclave_verified,1,64
0.1481,memset,1,64
0.1133,_PalThreadCreate,1,64
0.0985,mbedtls_internal_sha256_process,1,64
0.096,is_in_adjacent_user_vmas,1,64
0.0692,memcpy,1,64
0.0408,get_trusted_or_allowed_file,1,64
0.0062,_PyEval_EvalFrameDefault,1,64
0.0043,mbedtls_platform_zeroize,1,64
0.0039,__memmove_evex_unaligned_erms,1,64
0.0031,enclave_entry,1,64
0.0015,PyDict_SetDefault,1,64
0.0013,_PyObject_GenericGetAttrWithDict,1,64
0.001,_int_malloc,1,64
0.001,kernel_func,1,64
