epochs,num_clients,batch_size,sgx,ssl,median,mean,max,min,train_test_time,fl_time
1,24,32,0,1,0.43428491102531463,0.4272581175124894,0.47087123803794384,0.3750486299395579,9.316582754060315,9.743840871572806
1,24,32,1,1,3.9077686881646514,3.9084996143355966,3.973607395775616,3.864915401674809,9.410907733176524,13.31940734751212
10,24,32,0,1,3.0955126122571457,3.1009456357375402,3.3908634698018574,2.394312599673853,93.54510139514848,96.64604703088601
10,24,32,1,1,6.298166201449924,6.264354942638115,6.530313877388835,5.4268938871100545,93.57075960270595,99.83511454534407
10,24,32,0,1,3.0955126122571457,3.1009456357375402,3.3908634698018574,2.394312599673853,93.54510139514848,96.64604703088601
10,24,32,1,1,6.298166201449924,6.264354942638115,6.530313877388835,5.4268938871100545,93.57075960270595,99.83511454534407
30,24,32,0,1,7.5091928583569825,7.491154317899304,8.113148980773985,6.2393738124520155,280.84215126291383,288.33330558081315
30,24,32,1,1,11.60040842089802,11.497552318149246,12.103315097279847,9.716904257424176,280.807094891672,292.30464720982127
40,24,32,0,1,9.22664912743494,9.086749643630661,9.88271076884115,7.873622192069888,372.98267266895465,382.06942231258535
40,24,32,1,1,16.571286514401436,16.469398391743514,17.244497470557747,15.165436789393425,373.0311605754541,389.5005589671976
50,24,32,0,1,15.190468869637698,15.184140081866637,16.45101648569107,12.36300568468863,468.23773147146375,483.4218715533304
50,24,32,1,1,22.199694463051827,22.192675787839118,24.354800783097744,18.34624561946839,468.55879076453857,490.7514665523777
5,24,32,0,1,0.9562749820761383,0.9669729618278028,1.054079775698483,0.8888701582327485,46.4431003567297,47.4100733185575
5,24,32,1,1,4.727787125390023,4.719486694821778,4.8806096240878105,4.573034576140344,46.65527469245717,51.374761387278944
20,24,32,0,1,5.152800360228852,5.149636918989317,5.66098304372278,4.0620298292487576,186.98963555317218,192.13927247216148
20,24,32,1,1,9.892831115517765,9.791879006001786,10.593559036031365,8.628075237385929,186.39442599999407,196.18630500599588
