epochs,num_clients,batch_size,sgx,ssl,median,mean,max,min,train_test_time,fl_time
10,2,32,0,1,0.69260628009215,0.78439357643947,1.1204251181334257,0.6514531131833792,65.70051672977085,66.48491030621032
10,2,32,1,1,1.6927259974181652,1.7264276519417763,1.851777513511479,1.6205190680921078,65.76571504352614,67.49214269546792
10,8,32,0,1,1.2660615826025605,1.4790228460915387,2.404707184061408,0.9533893642947078,72.53643453908929,74.01545738518082
10,8,32,1,1,4.676909891888499,4.529493313787195,5.085347800515592,3.7688117902725935,73.24280529434327,77.77229860813047
10,16,32,0,1,1.4180437405593693,2.201039545199213,4.174973686225712,1.1843695575371385,81.71020505804336,83.91124460324257
10,16,32,1,1,5.813296899199486,5.523619540249153,6.260217624716461,4.625139702111483,82.00418112170883,87.52780066195798
10,24,32,0,1,1.8964377166703414,1.9767837225097327,2.609623839147389,1.4035859117284417,93.34156260480329,95.31834632731301
10,24,32,1,1,6.441002679988742,6.482768465325028,7.2562039494514465,5.387349830009043,93.6304340087938,100.11320247411884
10,25,32,0,1,2.339531235396862,3.7073446401829515,29.61720626521857,1.775882903486476,92.48068458350996,96.18802922369291
10,25,32,1,1,6.841677243821323,7.931212449446322,32.85729684121908,5.635153411887586,92.28271888164183,100.21393133108815
10,26,32,0,1,3.1145120076835084,4.946021531589139,27.885557101108134,2.4222752396017455,91.58931224838568,96.53533377997482
10,26,32,1,1,5.855715116020285,7.675921568539565,31.152717143297195,5.095972577109947,91.91616633969049,99.59208790823006
10,32,32,0,1,3.50639477185905,7.713656331519208,22.01372453570366,2.018385357223451,89.11461238227396,96.82826871379318
10,32,32,1,1,6.307382237166173,10.678939066458648,25.525900843553245,5.325223772786558,89.0508619841712,99.72980105062986
10,40,32,0,1,84.9523887229152,86.4236347354638,102.82865500729531,77.60643033497036,90.74392336824287,177.16755810370668
10,40,32,1,1,89.35458860872315,90.28477188174148,100.08078705426308,83.488300469704,91.11396038824847,181.39873226998995
10,48,32,0,1,95.34553107107057,95.38188232764757,101.9488101936877,90.4775368319824,91.15560083694032,186.53748316458788
10,48,32,1,1,99.55205705342814,99.54802610120451,106.89720206335187,96.18128768634051,90.84949145602553,190.39751755723006
10,55,32,0,1,101.38979532197118,102.85261116024445,109.55673372466114,97.35815342981368,94.53611101635138,197.38872217659585
10,55,32,1,1,104.46081706974655,105.96577632024207,111.27944684214893,100.65071188099682,93.98200930974474,199.9477856299868
