epochs,num_clients,batch_size,sgx,ssl,median,mean,max,min,train_test_time,fl_time
1,16,32,0,1,0.45372390444390476,0.45100865214772057,0.5615246719680727,0.32737605040892936,1.950837948990132,2.4018466011378528
1,16,32,1,1,2.65036388207227,2.6467144526395714,2.9547630161978304,2.342851660680026,1.9135657126413814,4.560280165280953
25,16,32,0,1,6.455534664215524,6.435076244359759,7.400953414384276,5.461299865972251,49.213672962549026,55.64874920690878
25,16,32,1,1,29.3270358229056,29.33959911709826,30.45655366918072,27.462666749954224,46.60563204831851,75.94523116541677
5,16,32,0,1,1.5149046422448,1.5150727919972269,1.893830316606909,1.1817589760758,9.825117795534121,11.340190587531348
5,16,32,1,1,7.185573465190828,7.190527555251417,7.630773500539362,6.697382617276162,9.372139748549671,16.56266730380109
20,16,32,0,1,5.229910892667245,5.200455006328412,6.053179040551186,4.49702594848349,39.305872151307994,44.506327157636406
20,16,32,1,1,23.945872866548598,23.968314201386722,25.119334238115698,22.204574652481824,37.33808717566232,61.30640137704904
10,16,32,0,1,2.7312922487035394,2.729974826453448,3.0929176388308406,2.3157538464292884,19.683067656946758,22.413042483400204
10,16,32,1,1,12.623373010661455,12.599973782746625,13.746212264988568,11.841034336015582,18.625397660313563,31.225371443060187
15,16,32,0,1,3.9727259087376297,3.9377370304137003,4.4353336011990905,3.4235387057997286,29.485057654096938,33.42279468451064
15,16,32,1,1,18.29384226980619,18.277149822364056,19.550880275201045,16.942363884299994,27.968326960394432,46.24547678275849
