model,dataset,sgx,features,train_rows,train_time,test_rows,test_time,acc,f1
nb,Android Malware,1,78,248941,288755000,106689,179332000,0.1694082801413454,0.1746241589987774
nb,Android Malware,1,78,248941,287505000,106689,181653000,0.1694082801413454,0.1746241589987774
nb,Android Malware,1,78,248941,287489000,106689,182068000,0.1694082801413454,0.1746241589987774
nb,Android Malware,1,78,248941,287599000,106689,181499000,0.1694082801413454,0.1746241589987774
nb,Android Malware,1,78,248941,288485000,106689,181834000,0.1694082801413454,0.1746241589987774
nb,Android Malware,1,78,248941,287262000,106689,181475000,0.1694082801413454,0.1746241589987774
nb,Android Malware,1,78,248941,287807000,106689,181904000,0.1694082801413454,0.1746241589987774
nb,Android Malware,1,78,248941,287560000,106689,181365000,0.1694082801413454,0.1746241589987774
nb,Android Malware,1,78,248941,287821000,106689,181531000,0.1694082801413454,0.1746241589987774
nb,Android Malware,1,78,248941,287966000,106689,181411000,0.1694082801413454,0.1746241589987774
nb,Android Malware,1,78,248941,287595000,106689,181812000,0.1694082801413454,0.1746241589987774
nb,Android Malware,0,78,248941,268221938,106689,169518205,0.1694082801413454,0.1746241589987774
nb,Android Malware,0,78,248941,267877917,106689,169222236,0.1694082801413454,0.1746241589987774
nb,Android Malware,0,78,248941,266917684,106689,169057466,0.1694082801413454,0.1746241589987774
nb,Android Malware,0,78,248941,267154262,106689,169478394,0.1694082801413454,0.1746241589987774
nb,Android Malware,0,78,248941,267016065,106689,169373394,0.1694082801413454,0.1746241589987774
nb,Android Malware,0,78,248941,267147068,106689,170310783,0.1694082801413454,0.1746241589987774
nb,Android Malware,0,78,248941,269202399,106689,169169999,0.1694082801413454,0.1746241589987774
nb,Android Malware,0,78,248941,267034853,106689,169818564,0.1694082801413454,0.1746241589987774
nb,Android Malware,0,78,248941,267891724,106689,169107507,0.1694082801413454,0.1746241589987774
nb,Android Malware,0,78,248941,267463655,106689,170079106,0.1694082801413454,0.1746241589987774
nb,Android Malware,0,78,248941,267853445,106689,169352570,0.1694082801413454,0.1746241589987774
nb,Card Transdata,1,7,700000,114710000,300000,21695000,0.95199,0.9558849400810137
nb,Card Transdata,1,7,700000,113213000,300000,21917000,0.95199,0.9558849400810137
nb,Card Transdata,1,7,700000,113403000,300000,21759000,0.95199,0.9558849400810137
nb,Card Transdata,1,7,700000,112853000,300000,22000000,0.95199,0.9558849400810137
nb,Card Transdata,1,7,700000,114318000,300000,21923000,0.95199,0.9558849400810137
nb,Card Transdata,1,7,700000,112752000,300000,21785000,0.95199,0.9558849400810137
nb,Card Transdata,1,7,700000,113772000,300000,21895000,0.95199,0.9558849400810137
nb,Card Transdata,1,7,700000,113180000,300000,21862000,0.95199,0.9558849400810137
nb,Card Transdata,1,7,700000,114282000,300000,21993000,0.95199,0.9558849400810137
nb,Card Transdata,1,7,700000,113031000,300000,21851000,0.95199,0.9558849400810137
nb,Card Transdata,1,7,700000,113343000,300000,22257000,0.95199,0.9558849400810137
nb,Card Transdata,0,7,700000,109839853,300000,24543268,0.95199,0.9558849400810137
nb,Card Transdata,0,7,700000,107984942,300000,20319986,0.95199,0.9558849400810137
nb,Card Transdata,0,7,700000,109944987,300000,20289114,0.95199,0.9558849400810137
nb,Card Transdata,0,7,700000,108442839,300000,20260294,0.95199,0.9558849400810137
nb,Card Transdata,0,7,700000,109356623,300000,20311723,0.95199,0.9558849400810137
nb,Card Transdata,0,7,700000,109291387,300000,20573933,0.95199,0.9558849400810137
nb,Card Transdata,0,7,700000,109966063,300000,20371371,0.95199,0.9558849400810137
nb,Card Transdata,0,7,700000,108049694,300000,20320396,0.95199,0.9558849400810137
nb,Card Transdata,0,7,700000,109794722,300000,20368029,0.95199,0.9558849400810137
nb,Card Transdata,0,7,700000,108583885,300000,20266605,0.95199,0.9558849400810137
