Model,num_threads,sgx,Max_Depth,num_trees,Columns,Rows,Train_Time
rf,1,1,3,1,28,1100000,2775083000
rf,1,1,3,1,28,1100000,2769815000
rf,1,1,3,1,28,1100000,2767974000
rf,1,1,3,1,28,1100000,2766079000
rf,1,1,3,1,28,1100000,2767043000
rf,1,1,3,1,28,1100000,2768430000
rf,1,1,3,1,28,1100000,2767196000
rf,1,1,3,1,28,1100000,2764724000
rf,1,1,3,1,28,1100000,2767634000
rf,1,1,3,1,28,1100000,2766933000
rf,1,1,3,1,28,1100000,2764961000
rf,1,0,3,1,28,1100000,2582115827
rf,1,0,3,1,28,1100000,2572870681
rf,1,0,3,1,28,1100000,2563793799
rf,1,0,3,1,28,1100000,2562389536
rf,1,0,3,1,28,1100000,2567058216
rf,1,0,3,1,28,1100000,2564959605
rf,1,0,3,1,28,1100000,2563913714
rf,1,0,3,1,28,1100000,2565599586
rf,1,0,3,1,28,1100000,2564965677
rf,1,0,3,1,28,1100000,2562382603
rf,1,0,3,1,28,1100000,2565755657
rf,1,1,3,1,28,2200000,5645395000
rf,1,1,3,1,28,2200000,5634277000
rf,1,1,3,1,28,2200000,5630880000
rf,1,1,3,1,28,2200000,5630057000
rf,1,1,3,1,28,2200000,5632328000
rf,1,1,3,1,28,2200000,5627482000
rf,1,1,3,1,28,2200000,5626860000
rf,1,1,3,1,28,2200000,5627655000
rf,1,1,3,1,28,2200000,5629579000
rf,1,1,3,1,28,2200000,5630834000
rf,1,1,3,1,28,2200000,5628653000
rf,1,0,3,1,28,2200000,5322421093
rf,1,0,3,1,28,2200000,5301396138
rf,1,0,3,1,28,2200000,5283566781
rf,1,0,3,1,28,2200000,5282955642
rf,1,0,3,1,28,2200000,5280381324
rf,1,0,3,1,28,2200000,5278251641
rf,1,0,3,1,28,2200000,5283679881
rf,1,0,3,1,28,2200000,5284354770
rf,1,0,3,1,28,2200000,5281976152
rf,1,0,3,1,28,2200000,5286373576
rf,1,0,3,1,28,2200000,5285605231
rf,1,1,3,1,28,3300000,8662086000
rf,1,1,3,1,28,3300000,8637841000
rf,1,1,3,1,28,3300000,8636959000
rf,1,1,3,1,28,3300000,8641797000
rf,1,1,3,1,28,3300000,8639971000
rf,1,1,3,1,28,3300000,8638347000
rf,1,1,3,1,28,3300000,8635386000
rf,1,1,3,1,28,3300000,8639561000
rf,1,1,3,1,28,3300000,8637319000
rf,1,1,3,1,28,3300000,8640113000
rf,1,1,3,1,28,3300000,8638266000
rf,1,0,3,1,28,3300000,8126387961
rf,1,0,3,1,28,3300000,8080346870
rf,1,0,3,1,28,3300000,8087413184
rf,1,0,3,1,28,3300000,8085571982
rf,1,0,3,1,28,3300000,8088190630
rf,1,0,3,1,28,3300000,8082604574
rf,1,0,3,1,28,3300000,8095217190
rf,1,0,3,1,28,3300000,8083848975
rf,1,0,3,1,28,3300000,8090663077
rf,1,0,3,1,28,3300000,8087478918
rf,1,0,3,1,28,3300000,8089703198
rf,1,1,3,1,28,4400000,11811381000
rf,1,1,3,1,28,4400000,11806207000
rf,1,1,3,1,28,4400000,11805866000
rf,1,1,3,1,28,4400000,11806118000
rf,1,1,3,1,28,4400000,11807040000
rf,1,1,3,1,28,4400000,11811851000
rf,1,1,3,1,28,4400000,11806400000
rf,1,1,3,1,28,4400000,11810607000
rf,1,1,3,1,28,4400000,11810449000
rf,1,1,3,1,28,4400000,11804068000
rf,1,1,3,1,28,4400000,11807272000
rf,1,0,3,1,28,4400000,10976916681
rf,1,0,3,1,28,4400000,10930559419
rf,1,0,3,1,28,4400000,10923751869
rf,1,0,3,1,28,4400000,10928202011
rf,1,0,3,1,28,4400000,10924322652
rf,1,0,3,1,28,4400000,10928076892
rf,1,0,3,1,28,4400000,10927876093
rf,1,0,3,1,28,4400000,10930034700
rf,1,0,3,1,28,4400000,10933617701
rf,1,0,3,1,28,4400000,10931166191
rf,1,0,3,1,28,4400000,10925436583
rf,1,1,3,1,28,5500000,15051640000
rf,1,1,3,1,28,5500000,14993310000
rf,1,1,3,1,28,5500000,14987077000
rf,1,1,3,1,28,5500000,14992882000
rf,1,1,3,1,28,5500000,14994501000
rf,1,1,3,1,28,5500000,14993988000
rf,1,1,3,1,28,5500000,14991279000
rf,1,1,3,1,28,5500000,14992179000
rf,1,1,3,1,28,5500000,14992441000
rf,1,1,3,1,28,5500000,14988713000
rf,1,1,3,1,28,5500000,14989004000
rf,1,0,3,1,28,5500000,13993996319
rf,1,0,3,1,28,5500000,13972059345
rf,1,0,3,1,28,5500000,13972369306
rf,1,0,3,1,28,5500000,13972987020
rf,1,0,3,1,28,5500000,13968198256
rf,1,0,3,1,28,5500000,13970899480
rf,1,0,3,1,28,5500000,13975152866
rf,1,0,3,1,28,5500000,13975337745
rf,1,0,3,1,28,5500000,13969044048
rf,1,0,3,1,28,5500000,13970311426
rf,1,0,3,1,28,5500000,13974473419
rf,1,1,3,1,28,6600000,18091965000
rf,1,1,3,1,28,6600000,18091855000
rf,1,1,3,1,28,6600000,18091972000
rf,1,1,3,1,28,6600000,18088290000
rf,1,1,3,1,28,6600000,18088381000
rf,1,1,3,1,28,6600000,18085089000
rf,1,1,3,1,28,6600000,18088625000
rf,1,1,3,1,28,6600000,18089484000
rf,1,1,3,1,28,6600000,18086340000
rf,1,1,3,1,28,6600000,18089368000
rf,1,1,3,1,28,6600000,18094852000
rf,1,0,3,1,28,6600000,16668081653
rf,1,0,3,1,28,6600000,16644392222
rf,1,0,3,1,28,6600000,16643512347
rf,1,0,3,1,28,6600000,16637621631
rf,1,0,3,1,28,6600000,16644855500
rf,1,0,3,1,28,6600000,16636798403
rf,1,0,3,1,28,6600000,16634918706
rf,1,0,3,1,28,6600000,16636594712
rf,1,0,3,1,28,6600000,16643355808
rf,1,0,3,1,28,6600000,16637376461
rf,1,0,3,1,28,6600000,16639085236
rf,1,1,3,1,28,7699999,21315603000
rf,1,1,3,1,28,7699999,21308876000
rf,1,1,3,1,28,7699999,21308338000
rf,1,1,3,1,28,7699999,21304183000
rf,1,1,3,1,28,7699999,21306250000
rf,1,1,3,1,28,7699999,21313611000
rf,1,1,3,1,28,7699999,21306118000
rf,1,1,3,1,28,7699999,21309951000
rf,1,1,3,1,28,7699999,21307272000
rf,1,1,3,1,28,7699999,21308658000
rf,1,1,3,1,28,7699999,21313685000
rf,1,0,3,1,28,7699999,19569831198
rf,1,0,3,1,28,7699999,19529675478
rf,1,0,3,1,28,7699999,19532877145
rf,1,0,3,1,28,7699999,19535635942
rf,1,0,3,1,28,7699999,19529667105
rf,1,0,3,1,28,7699999,19536712270
rf,1,0,3,1,28,7699999,19520625798
rf,1,0,3,1,28,7699999,19532442069
rf,1,0,3,1,28,7699999,19523903626
rf,1,0,3,1,28,7699999,19522656091
rf,1,0,3,1,28,7699999,19528329393
rf,1,1,3,1,28,8800000,24361357000
rf,1,1,3,1,28,8800000,24361616000
rf,1,1,3,1,28,8800000,24363756000
rf,1,1,3,1,28,8800000,24361038000
rf,1,1,3,1,28,8800000,24362136000
rf,1,1,3,1,28,8800000,24360955000
rf,1,1,3,1,28,8800000,24361814000
rf,1,1,3,1,28,8800000,24368486000
rf,1,1,3,1,28,8800000,24355575000
rf,1,1,3,1,28,8800000,24366312000
rf,1,1,3,1,28,8800000,24350548000
rf,1,0,3,1,28,8800000,22393528400
rf,1,0,3,1,28,8800000,22340376931
rf,1,0,3,1,28,8800000,22341504017
rf,1,0,3,1,28,8800000,22348503145
rf,1,0,3,1,28,8800000,22337750614
rf,1,0,3,1,28,8800000,22350524654
rf,1,0,3,1,28,8800000,22347411193
rf,1,0,3,1,28,8800000,22347003046
rf,1,0,3,1,28,8800000,22346118183
rf,1,0,3,1,28,8800000,22351537860
rf,1,0,3,1,28,8800000,22346219464
rf,1,1,3,1,28,9900000,27617903000
rf,1,1,3,1,28,9900000,27617523000
rf,1,1,3,1,28,9900000,27620662000
rf,1,1,3,1,28,9900000,27609790000
rf,1,1,3,1,28,9900000,27616108000
rf,1,1,3,1,28,9900000,27616165000
rf,1,1,3,1,28,9900000,27621269000
rf,1,1,3,1,28,9900000,27615360000
rf,1,1,3,1,28,9900000,27622058000
rf,1,1,3,1,28,9900000,27614317000
rf,1,1,3,1,28,9900000,27608728000
rf,1,0,3,1,28,9900000,25320721147
rf,1,0,3,1,28,9900000,25267476885
rf,1,0,3,1,28,9900000,25273842794
rf,1,0,3,1,28,9900000,25269238580
rf,1,0,3,1,28,9900000,25268829373
rf,1,0,3,1,28,9900000,25271067386
rf,1,0,3,1,28,9900000,25266058813
rf,1,0,3,1,28,9900000,25275017292
rf,1,0,3,1,28,9900000,25270157447
rf,1,0,3,1,28,9900000,25268950498
rf,1,0,3,1,28,9900000,25268541493
