percent_spent,function,sgx,max_depth
0.335,findSplitForFeatureSorted,1,58
0.1819,memset,1,58
0.0856,tokenize_bytes,1,58
0.0737,makeIndex,1,58
0.0566,precise_xstrtod,1,58
0.0528,memcpy,1,58
0.0347,sgx_copy_to_enclave_verified,1,58
0.0209,findBestSplitSerial,1,58
0.0154,0x0000000000050500,1,58
0.0147,splitColumn,1,58
0.0101,mbedtls_internal_sha256_process,1,58
0.0088,__memmove_evex_unaligned_erms,1,58
0.0086,quicksort,1,58
0.0057,copyBinIndex,1,58
0.0048,quicksort,1,58
0.218,tokenize_bytes,0,58
0.1827,makeIndex,0,58
0.144,precise_xstrtod,0,58
0.1387,findSplitForFeatureSorted,0,58
0.0363,findBestSplitSerial,0,58
0.0253,__memmove_evex_unaligned_erms,0,58
0.0225,0x0000000000050500,0,58
0.0191,splitColumn,0,58
0.0157,quicksort,0,58
0.0124,quicksort,0,58
0.0101,0x0000000000050a0e,0,58
0.0097,computeSum,0,58
0.0089,parallelPredict,0,58
0.0065,0x0000000000050a6c,0,58
0.0062,AVX512_SKX_isnan_DOUBLE,0,58
0.2827,memset,1,3
0.1326,tokenize_bytes,1,3
0.114,makeIndex,1,3
0.0868,precise_xstrtod,1,3
0.0832,memcpy,1,3
0.0552,sgx_copy_to_enclave_verified,1,3
0.0243,0x0000000000050500,1,3
0.0231,splitColumn,1,3
0.0168,mbedtls_internal_sha256_process,1,3
0.0132,quicksort,1,3
0.0126,__memmove_evex_unaligned_erms,1,3
0.0105,0x0000000000050a0e,1,3
0.0089,copyBinIndex,1,3
0.0072,quicksort,1,3
0.0069,findSplitForFeatureSorted,1,3
0.2692,tokenize_bytes,0,3
0.226,makeIndex,0,3
0.1795,precise_xstrtod,0,3
0.0305,__memmove_evex_unaligned_erms,0,3
0.0277,0x0000000000050500,0,3
0.0236,splitColumn,0,3
0.0195,quicksort,0,3
0.015,quicksort,0,3
0.0125,0x0000000000050a0e,0,3
0.012,computeSum,0,3
0.0079,0x0000000000050a68,0,3
0.0078,AVX512_SKX_isnan_DOUBLE,0,3
0.0077,0x0000000000050a6c,0,3
0.0076,DOUBLE_pairwise_sum,0,3
0.0073,0x0000000000050a62,0,3
