model,threads,sgx,depth,trees,features,train_rows,train_time,test_rows,test_time,acc,f1
rf,64,1,3,64,28,7699999,13169946000,3300001,714305000,0.6327555658316467,0.6487107307549012
rf,64,1,3,64,28,7699999,8778468000,3300001,712440000,0.6327555658316467,0.6487107307549012
rf,64,1,3,64,28,7699999,8146175000,3300001,712006000,0.6327555658316467,0.6487107307549012
rf,64,1,3,64,28,7699999,8253956000,3300001,710849000,0.6327555658316467,0.6487107307549012
rf,64,0,3,64,28,7699999,7617087980,3300001,874693656,0.6327555658316467,0.6487107307549012
rf,64,0,3,64,28,7699999,7309108003,3300001,876270512,0.6327555658316467,0.6487107307549012
rf,64,0,3,64,28,7699999,7013962892,3300001,882421064,0.6327555658316467,0.6487107307549012
rf,64,0,3,64,28,7699999,7053535486,3300001,871176095,0.6327555658316467,0.6487107307549012
rf,48,1,3,64,28,7699999,12590178000,3300001,840572000,0.6327555658316467,0.6487107307549012
rf,48,1,3,64,28,7699999,9077515000,3300001,829296000,0.6327555658316467,0.6487107307549012
rf,48,1,3,64,28,7699999,8993913000,3300001,842660000,0.6327555658316467,0.6487107307549012
rf,48,1,3,64,28,7699999,9029234000,3300001,829246000,0.6327555658316467,0.6487107307549012
rf,48,0,3,64,28,7699999,7894280404,3300001,890918812,0.6327555658316467,0.6487107307549012
rf,48,0,3,64,28,7699999,7870019801,3300001,879993317,0.6327555658316467,0.6487107307549012
rf,48,0,3,64,28,7699999,7707349551,3300001,880838332,0.6327555658316467,0.6487107307549012
rf,48,0,3,64,28,7699999,7950141740,3300001,872085395,0.6327555658316467,0.6487107307549012
rf,40,1,3,64,28,7699999,10779584000,3300001,722438000,0.6327555658316467,0.6487107307549012
rf,40,1,3,64,28,7699999,8603332000,3300001,722562000,0.6327555658316467,0.6487107307549012
rf,40,1,3,64,28,7699999,8603312000,3300001,740458000,0.6327555658316467,0.6487107307549012
rf,40,1,3,64,28,7699999,8539575000,3300001,719509000,0.6327555658316467,0.6487107307549012
rf,40,0,3,64,28,7699999,8938590564,3300001,910270000,0.6327555658316467,0.6487107307549012
rf,40,0,3,64,28,7699999,8689572231,3300001,898428319,0.6327555658316467,0.6487107307549012
rf,40,0,3,64,28,7699999,8899001925,3300001,912739592,0.6327555658316467,0.6487107307549012
rf,40,0,3,64,28,7699999,8409377955,3300001,899167285,0.6327555658316467,0.6487107307549012
rf,36,1,3,64,28,7699999,10063213000,3300001,723559000,0.6327555658316467,0.6487107307549012
rf,36,1,3,64,28,7699999,8423225000,3300001,722045000,0.6327555658316467,0.6487107307549012
rf,36,1,3,64,28,7699999,8371638000,3300001,722105000,0.6327555658316467,0.6487107307549012
rf,36,1,3,64,28,7699999,8346255000,3300001,721701000,0.6327555658316467,0.6487107307549012
rf,36,0,3,64,28,7699999,9242824133,3300001,887280401,0.6327555658316467,0.6487107307549012
rf,36,0,3,64,28,7699999,8664647436,3300001,912641945,0.6327555658316467,0.6487107307549012
rf,36,0,3,64,28,7699999,8640738457,3300001,883362226,0.6327555658316467,0.6487107307549012
rf,36,0,3,64,28,7699999,8442546036,3300001,893283911,0.6327555658316467,0.6487107307549012
rf,34,1,3,64,28,7699999,9411500000,3300001,773768000,0.6327555658316467,0.6487107307549012
rf,34,1,3,64,28,7699999,8652404000,3300001,736161000,0.6327555658316467,0.6487107307549012
rf,34,1,3,64,28,7699999,8457201000,3300001,765411000,0.6327555658316467,0.6487107307549012
rf,34,1,3,64,28,7699999,8469348000,3300001,733672000,0.6327555658316467,0.6487107307549012
rf,34,0,3,64,28,7699999,9339737811,3300001,898442301,0.6327555658316467,0.6487107307549012
rf,34,0,3,64,28,7699999,9204309174,3300001,894384793,0.6327555658316467,0.6487107307549012
rf,34,0,3,64,28,7699999,8718310410,3300001,890217756,0.6327555658316467,0.6487107307549012
rf,34,0,3,64,28,7699999,8721438403,3300001,894970025,0.6327555658316467,0.6487107307549012
rf,33,1,3,64,28,7699999,9419040000,3300001,732035000,0.6327555658316467,0.6487107307549012
rf,33,1,3,64,28,7699999,8555111000,3300001,730765000,0.6327555658316467,0.6487107307549012
rf,33,1,3,64,28,7699999,8413231000,3300001,729965000,0.6327555658316467,0.6487107307549012
rf,33,1,3,64,28,7699999,8416814000,3300001,729619000,0.6327555658316467,0.6487107307549012
rf,33,0,3,64,28,7699999,9169798583,3300001,1258344835,0.6327555658316467,0.6487107307549012
rf,33,0,3,64,28,7699999,8816126723,3300001,1236123930,0.6327555658316467,0.6487107307549012
rf,33,0,3,64,28,7699999,8836012249,3300001,1238817360,0.6327555658316467,0.6487107307549012
rf,33,0,3,64,28,7699999,8739965458,3300001,1238841129,0.6327555658316467,0.6487107307549012
rf,32,1,3,64,28,7699999,9164697000,3300001,738145000,0.6327555658316467,0.6487107307549012
rf,32,1,3,64,28,7699999,8556372000,3300001,735758000,0.6327555658316467,0.6487107307549012
rf,32,1,3,64,28,7699999,8410797000,3300001,735660000,0.6327555658316467,0.6487107307549012
rf,32,1,3,64,28,7699999,8455761000,3300001,735928000,0.6327555658316467,0.6487107307549012
rf,32,0,3,64,28,7699999,9310458734,3300001,912538628,0.6327555658316467,0.6487107307549012
rf,32,0,3,64,28,7699999,8994833251,3300001,914440734,0.6327555658316467,0.6487107307549012
rf,32,0,3,64,28,7699999,8851862997,3300001,915555868,0.6327555658316467,0.6487107307549012
rf,32,0,3,64,28,7699999,8995706912,3300001,903791867,0.6327555658316467,0.6487107307549012
rf,16,1,3,64,28,7699999,12639557000,3300001,1016695000,0.6327555658316467,0.6487107307549012
rf,16,1,3,64,28,7699999,12549168000,3300001,1003713000,0.6327555658316467,0.6487107307549012
rf,16,1,3,64,28,7699999,12689111000,3300001,1011006000,0.6327555658316467,0.6487107307549012
rf,16,1,3,64,28,7699999,12543880000,3300001,1002910000,0.6327555658316467,0.6487107307549012
rf,16,0,3,64,28,7699999,11191135622,3300001,1141040017,0.6327555658316467,0.6487107307549012
rf,16,0,3,64,28,7699999,11004157323,3300001,1142896239,0.6327555658316467,0.6487107307549012
rf,16,0,3,64,28,7699999,11015137828,3300001,1140482321,0.6327555658316467,0.6487107307549012
rf,16,0,3,64,28,7699999,11051457117,3300001,1149072477,0.6327555658316467,0.6487107307549012
rf,8,1,3,64,28,7699999,21472150000,3300001,1598576000,0.6327555658316467,0.6487107307549012
rf,8,1,3,64,28,7699999,21384612000,3300001,1592758000,0.6327555658316467,0.6487107307549012
rf,8,1,3,64,28,7699999,21572951000,3300001,1609212000,0.6327555658316467,0.6487107307549012
rf,8,1,3,64,28,7699999,23130567000,3300001,1597168000,0.6327555658316467,0.6487107307549012
rf,8,0,3,64,28,7699999,17374865218,3300001,1701975542,0.6327555658316467,0.6487107307549012
rf,8,0,3,64,28,7699999,17374883650,3300001,1686867655,0.6327555658316467,0.6487107307549012
rf,8,0,3,64,28,7699999,17455198884,3300001,1710304829,0.6327555658316467,0.6487107307549012
rf,8,0,3,64,28,7699999,17313102167,3300001,1684100148,0.6327555658316467,0.6487107307549012
rf,4,1,3,64,28,7699999,41200223000,3300001,2824518000,0.6327555658316467,0.6487107307549012
rf,4,1,3,64,28,7699999,40909996000,3300001,2819610000,0.6327555658316467,0.6487107307549012
