model,threads,sgx,depth,trees,features,train_rows,train_time,test_rows,test_time,acc,f1
rf,64,1,3,128,28,7699999,17170722000,3300001,797230000,0.639093745729168,0.6579919365547396
rf,64,1,3,128,28,7699999,12502100000,3300001,831874000,0.639093745729168,0.6579919365547396
rf,64,1,3,128,28,7699999,12101662000,3300001,779775000,0.639093745729168,0.6579919365547396
rf,64,1,3,128,28,7699999,12714656000,3300001,776467000,0.639093745729168,0.6579919365547396
rf,64,1,3,128,28,7699999,12557289000,3300001,730100000,0.639093745729168,0.6579919365547396
rf,64,0,3,128,28,7699999,10821482110,3300001,1269039410,0.639093745729168,0.6579919365547396
rf,64,0,3,128,28,7699999,10425192604,3300001,1032697539,0.639093745729168,0.6579919365547396
rf,64,0,3,128,28,7699999,10142181668,3300001,874307172,0.639093745729168,0.6579919365547396
rf,64,0,3,128,28,7699999,10319737331,3300001,873018281,0.639093745729168,0.6579919365547396
rf,64,0,3,128,28,7699999,10204353507,3300001,855870623,0.639093745729168,0.6579919365547396
rf,32,1,3,128,28,7699999,12731077000,3300001,943992000,0.639093745729168,0.6579919365547396
rf,32,1,3,128,28,7699999,11922658000,3300001,941934000,0.639093745729168,0.6579919365547396
rf,32,1,3,128,28,7699999,12226433000,3300001,929763000,0.639093745729168,0.6579919365547396
rf,32,1,3,128,28,7699999,11693163000,3300001,928367000,0.639093745729168,0.6579919365547396
rf,32,1,3,128,28,7699999,11687965000,3300001,929509000,0.639093745729168,0.6579919365547396
rf,32,0,3,128,28,7699999,12048428366,3300001,1214327817,0.639093745729168,0.6579919365547396
rf,32,0,3,128,28,7699999,12066234227,3300001,1199546066,0.639093745729168,0.6579919365547396
rf,32,0,3,128,28,7699999,11857462187,3300001,1114744706,0.639093745729168,0.6579919365547396
rf,32,0,3,128,28,7699999,11751021024,3300001,1098809191,0.639093745729168,0.6579919365547396
rf,32,0,3,128,28,7699999,11605643298,3300001,1123971782,0.639093745729168,0.6579919365547396
rf,16,1,3,128,28,7699999,18097632000,3300001,1434394000,0.639093745729168,0.6579919365547396
rf,16,1,3,128,28,7699999,17112491000,3300001,1433156000,0.639093745729168,0.6579919365547396
rf,16,1,3,128,28,7699999,18129110000,3300001,1422381000,0.639093745729168,0.6579919365547396
rf,16,1,3,128,28,7699999,18189467000,3300001,1423876000,0.639093745729168,0.6579919365547396
rf,16,1,3,128,28,7699999,18188474000,3300001,1425504000,0.639093745729168,0.6579919365547396
rf,16,0,3,128,28,7699999,14887568877,3300001,1691965824,0.639093745729168,0.6579919365547396
rf,16,0,3,128,28,7699999,14554528502,3300001,1620229769,0.639093745729168,0.6579919365547396
rf,16,0,3,128,28,7699999,14353682077,3300001,1576410367,0.639093745729168,0.6579919365547396
rf,16,0,3,128,28,7699999,14635005336,3300001,1569187777,0.639093745729168,0.6579919365547396
rf,16,0,3,128,28,7699999,14609813989,3300001,1575836853,0.639093745729168,0.6579919365547396
rf,8,1,3,128,28,7699999,28627806000,3300001,2472357000,0.639093745729168,0.6579919365547396
rf,8,1,3,128,28,7699999,29205934000,3300001,2478757000,0.639093745729168,0.6579919365547396
rf,8,1,3,128,28,7699999,29758082000,3300001,2457780000,0.639093745729168,0.6579919365547396
rf,8,1,3,128,28,7699999,29746767000,3300001,2469911000,0.639093745729168,0.6579919365547396
rf,8,1,3,128,28,7699999,29092347000,3300001,2457665000,0.639093745729168,0.6579919365547396
rf,8,0,3,128,28,7699999,20102410108,3300001,2626468360,0.639093745729168,0.6579919365547396
rf,8,0,3,128,28,7699999,20103972225,3300001,2594553490,0.639093745729168,0.6579919365547396
rf,8,0,3,128,28,7699999,20804380783,3300001,2599099048,0.639093745729168,0.6579919365547396
rf,8,0,3,128,28,7699999,20020136692,3300001,2579275494,0.639093745729168,0.6579919365547396
rf,8,0,3,128,28,7699999,20612826459,3300001,2582148810,0.639093745729168,0.6579919365547396
rf,4,1,3,128,28,7699999,52837977000,3300001,4547150000,0.639093745729168,0.6579919365547396
rf,4,1,3,128,28,7699999,52936824000,3300001,4557520000,0.639093745729168,0.6579919365547396
rf,4,1,3,128,28,7699999,52942793000,3300001,4555676000,0.639093745729168,0.6579919365547396
rf,4,1,3,128,28,7699999,52964628000,3300001,4546304000,0.639093745729168,0.6579919365547396
rf,4,1,3,128,28,7699999,52754625000,3300001,4540301000,0.639093745729168,0.6579919365547396
rf,4,0,3,128,28,7699999,34011190184,3300001,4688651224,0.639093745729168,0.6579919365547396
rf,4,0,3,128,28,7699999,34260130381,3300001,4748397205,0.639093745729168,0.6579919365547396
rf,4,0,3,128,28,7699999,34145111282,3300001,5016699979,0.639093745729168,0.6579919365547396
rf,4,0,3,128,28,7699999,34018387988,3300001,4705944350,0.639093745729168,0.6579919365547396
rf,4,0,3,128,28,7699999,34317264219,3300001,4680189334,0.639093745729168,0.6579919365547396
rf,2,1,3,128,28,7699999,101306347000,3300001,9862577000,0.639093745729168,0.6579919365547396
rf,2,1,3,128,28,7699999,101288772000,3300001,9874518000,0.639093745729168,0.6579919365547396
rf,2,1,3,128,28,7699999,101163300000,3300001,10198532000,0.639093745729168,0.6579919365547396
rf,2,1,3,128,28,7699999,101145145000,3300001,9850052000,0.639093745729168,0.6579919365547396
rf,2,1,3,128,28,7699999,101161114000,3300001,9859235000,0.639093745729168,0.6579919365547396
rf,2,0,3,128,28,7699999,62890273788,3300001,9818161079,0.639093745729168,0.6579919365547396
