model,threads,sgx,depth,trees,features,train_rows,train_time,test_rows,test_time,acc,f1
rf,1,1,None,1,28,7699999,109302680000,3300001,1236090000,0.8204355089589367,0.8204068142670894
rf,1,1,None,1,28,7699999,108370611000,3300001,1235014000,0.8204355089589367,0.8204068142670894
rf,1,1,None,1,28,7699999,108439782000,3300001,1238517000,0.8204355089589367,0.8204068142670894
rf,1,1,None,1,28,7699999,108339174000,3300001,1236342000,0.8204355089589367,0.8204068142670894
rf,1,1,None,1,28,7699999,108358194000,3300001,1234381000,0.8204355089589367,0.8204068142670894
rf,1,0,None,1,28,7699999,36629976691,3300001,1246519778,0.8204355089589367,0.8204068142670894
rf,1,0,None,1,28,7699999,36527430829,3300001,1248539578,0.8204355089589367,0.8204068142670894
rf,1,0,None,1,28,7699999,36097785355,3300001,1245416183,0.8204355089589367,0.8204068142670894
rf,1,0,None,1,28,7699999,36506824659,3300001,1246574661,0.8204355089589367,0.8204068142670894
rf,1,0,None,1,28,7699999,36478598893,3300001,1246631685,0.8204355089589367,0.8204068142670894
rf,1,1,None,16,28,7699999,1384638134000,3300001,15578011000,0.8659297375970492,0.8658462658360937
rf,1,1,None,16,28,7699999,1468426957000,3300001,15954211000,0.8659297375970492,0.8658462658360937
rf,1,1,None,16,28,7699999,1467647607000,3300001,16329991000,0.8659297375970492,0.8658462658360937
rf,1,1,None,16,28,7699999,1467559434000,3300001,15928738000,0.8659297375970492,0.8658462658360937
rf,1,1,None,16,28,7699999,1467635311000,3300001,15948344000,0.8659297375970492,0.8658462658360937
rf,1,0,None,16,28,7699999,301418336716,3300001,13636559096,0.8659297375970492,0.8658462658360937
rf,1,0,None,16,28,7699999,300801156996,3300001,13521160198,0.8659297375970492,0.8658462658360937
rf,1,0,None,16,28,7699999,299518835781,3300001,13612927327,0.8659297375970492,0.8658462658360937
rf,1,0,None,16,28,7699999,300109707022,3300001,13483084719,0.8659297375970492,0.8658462658360937
rf,1,0,None,16,28,7699999,304735934082,3300001,13517334661,0.8659297375970492,0.8658462658360937
rf,1,1,None,32,28,7699999,2963661074000,3300001,32759066000,0.8721106448149561,0.8720821244953948
rf,1,1,None,32,28,7699999,2799555449000,3300001,31663427000,0.8721106448149561,0.8720821244953948
rf,1,1,None,32,28,7699999,2799457743000,3300001,30993049000,0.8721106448149561,0.8720821244953948
rf,1,1,None,32,28,7699999,2798561511000,3300001,31356393000,0.8721106448149561,0.8720821244953948
rf,1,1,None,32,28,7699999,2799408857000,3300001,30992404000,0.8721106448149561,0.8720821244953948
rf,1,0,None,32,28,7699999,585593284508,3300001,26644116778,0.8721106448149561,0.8720821244953948
rf,1,0,None,32,28,7699999,586170704346,3300001,26673597003,0.8721106448149561,0.8720821244953948
rf,1,0,None,32,28,7699999,588511976519,3300001,26618113784,0.8721106448149561,0.8720821244953948
rf,1,0,None,32,28,7699999,589629260298,3300001,26632863812,0.8721106448149561,0.8720821244953948
rf,1,0,None,32,28,7699999,589685688447,3300001,26642869087,0.8721106448149561,0.8720821244953948
rf,1,1,None,64,28,7699999,5742841536000,3300001,62872147000,0.8753133711171602,0.875321706054724
rf,1,1,None,64,28,7699999,5621005971000,3300001,62632122000,0.8753133711171602,0.875321706054724
rf,1,1,None,64,28,7699999,5622621510000,3300001,61896692000,0.8753133711171602,0.875321706054724
rf,1,1,None,64,28,7699999,5621473125000,3300001,61904015000,0.8753133711171602,0.875321706054724
rf,1,1,None,64,28,7699999,5621393920000,3300001,61910732000,0.8753133711171602,0.875321706054724
rf,1,0,None,64,28,7699999,1159739667097,3300001,53040186458,0.8753133711171602,0.875321706054724
rf,1,0,None,64,28,7699999,1146001614803,3300001,53073992386,0.8753133711171602,0.875321706054724
rf,1,0,None,64,28,7699999,1147407125416,3300001,53015710401,0.8753133711171602,0.875321706054724
rf,1,0,None,64,28,7699999,1153639247897,3300001,53035832327,0.8753133711171602,0.875321706054724
rf,1,0,None,64,28,7699999,1151541579119,3300001,53040423601,0.8753133711171602,0.875321706054724
rf,1,1,None,128,28,7699999,11396440465000,3300001,124878921000,0.8770594311941118,0.8770862779123334
rf,1,1,None,128,28,7699999,11655384539000,3300001,130729078000,0.8770594311941118,0.8770862779123334
rf,1,1,None,128,28,7699999,11579884443000,3300001,129985875000,0.8770594311941118,0.8770862779123334
rf,1,1,None,128,28,7699999,11573451454000,3300001,129753381000,0.8770594311941118,0.8770862779123334
rf,1,1,None,128,28,7699999,11570912339000,3300001,129948379000,0.8770594311941118,0.8770862779123334
rf,1,0,None,128,28,7699999,2272867445644,3300001,106019440157,0.8770594311941118,0.8770862779123334
rf,1,0,None,128,28,7699999,2265533227352,3300001,106174029043,0.8770594311941118,0.8770862779123334
rf,1,0,None,128,28,7699999,2264702714227,3300001,106062459992,0.8770594311941118,0.8770862779123334
rf,1,0,None,128,28,7699999,2265166129347,3300001,106296299803,0.8770594311941118,0.8770862779123334
rf,1,0,None,128,28,7699999,2275053695749,3300001,105995422031,0.8770594311941118,0.8770862779123334
