model,iter,sgx,max_depth,num_trees,num_features,num_rows,train_time,cpu_time
rf,1,0,3,1,28,7699999,19589755662,71.971
rf,1,1,3,1,28,7699999,21304684000,133.348
rf,1,0,3,2,28,7699999,21020853649,73.532
rf,1,1,3,2,28,7699999,23325976000,136.184
rf,1,0,3,4,28,7699999,23989815608,76.151
rf,1,1,3,4,28,7699999,27526047000,141.63
rf,1,0,3,8,28,7699999,29396768672,80.789
rf,1,1,3,8,28,7699999,35618697000,147.817
rf,1,0,3,16,28,7699999,41167006157,91.816
rf,1,1,3,16,28,7699999,51921006000,163.571
rf,1,0,3,32,28,7699999,64799085800,113.599
rf,1,1,3,32,28,7699999,88893294000,202.139
rf,1,0,3,64,28,7699999,111041610827,156.141
rf,1,1,3,64,28,7699999,149996198000,263.738
