,function,sgx,num_trees,percent_spent
7,_Z11aquicksort_IN3npy10double_tagEdEiPT0_Pll,0,1,0.0197
8,_Z11aquicksort_IN3npy10double_tagEdEiPT0_Pll,0,2,0.0193
9,_Z11aquicksort_IN3npy10double_tagEdEiPT0_Pll,0,4,0.0187
10,_Z11aquicksort_IN3npy10double_tagEdEiPT0_Pll,0,8,0.0175
11,_Z11aquicksort_IN3npy10double_tagEdEiPT0_Pll,0,16,0.0154
12,_Z11aquicksort_IN3npy10double_tagEdEiPT0_Pll,0,32,0.0125
14,_Z11aquicksort_IN3npy10double_tagEdEiPT0_Pll,1,1,0.0131
15,_Z11aquicksort_IN3npy10double_tagEdEiPT0_Pll,1,2,0.0135
16,_Z11aquicksort_IN3npy10double_tagEdEiPT0_Pll,1,4,0.0124
17,_Z11aquicksort_IN3npy10double_tagEdEiPT0_Pll,1,8,0.0121
18,_Z11aquicksort_IN3npy10double_tagEdEiPT0_Pll,1,16,0.0107
22,_ZN4daal10algorithms15decision_forest8training8internal18TrainBatchTaskBaseIdhNS1_14classification8training8internal14RespHelperBaseIdLNS_7CpuTypeE6ENS7_23UnorderedRespHelperBestIdLS9_6EEEEELS9_6EE19findBestSplitSerialEmmmRKNSB_12ImpurityDataERiRNS0_6dtrees8training8internal9SplitDataIdSE_EEd,0,8,0.0145
23,_ZN4daal10algorithms15decision_forest8training8internal18TrainBatchTaskBaseIdhNS1_14classification8training8internal14RespHelperBaseIdLNS_7CpuTypeE6ENS7_23UnorderedRespHelperBestIdLS9_6EEEEELS9_6EE19findBestSplitSerialEmmmRKNSB_12ImpurityDataERiRNS0_6dtrees8training8internal9SplitDataIdSE_EEd,0,16,0.0275
24,_ZN4daal10algorithms15decision_forest8training8internal18TrainBatchTaskBaseIdhNS1_14classification8training8internal14RespHelperBaseIdLNS_7CpuTypeE6ENS7_23UnorderedRespHelperBestIdLS9_6EEEEELS9_6EE19findBestSplitSerialEmmmRKNSB_12ImpurityDataERiRNS0_6dtrees8training8internal9SplitDataIdSE_EEd,0,32,0.0456
25,_ZN4daal10algorithms15decision_forest8training8internal18TrainBatchTaskBaseIdhNS1_14classification8training8internal14RespHelperBaseIdLNS_7CpuTypeE6ENS7_23UnorderedRespHelperBestIdLS9_6EEEEELS9_6EE19findBestSplitSerialEmmmRKNSB_12ImpurityDataERiRNS0_6dtrees8training8internal9SplitDataIdSE_EEd,0,64,0.065
27,_ZN4daal10algorithms15decision_forest8training8internal18TrainBatchTaskBaseIdhNS1_14classification8training8internal14RespHelperBaseIdLNS_7CpuTypeE6ENS7_23UnorderedRespHelperBestIdLS9_6EEEEELS9_6EE19findBestSplitSerialEmmmRKNSB_12ImpurityDataERiRNS0_6dtrees8training8internal9SplitDataIdSE_EEd,1,16,0.0172
28,_ZN4daal10algorithms15decision_forest8training8internal18TrainBatchTaskBaseIdhNS1_14classification8training8internal14RespHelperBaseIdLNS_7CpuTypeE6ENS7_23UnorderedRespHelperBestIdLS9_6EEEEELS9_6EE19findBestSplitSerialEmmmRKNSB_12ImpurityDataERiRNS0_6dtrees8training8internal9SplitDataIdSE_EEd,1,32,0.0268
